tool		CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856	CPAchecker statistics-refactor:43856
run set		r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value	r_700s_noitlimit_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/4_reproducibility/integration-nightly-value/4_700s_noitlimit_safetyzone/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-patterns/array23_pattern.yml	true	unknown	9.034923039	4.726540075993398	170.283008	219	822	968
array-patterns/array24_pattern.yml	true	unknown	6.872572069	3.6072772949992213	144.404480	118	486	575
array-patterns/array25_pattern.yml	true	unknown	6.014496034	3.1516848399769515	143.380480	77	181	213
array-patterns/array26_pattern.yml	true	unknown	5.956596464	3.154883985989727	134.930432	77	181	213
array-patterns/array27_pattern.yml	true	unknown	5.791879712	3.0722523250151426	135.827456	41	42	47
array-patterns/array28_pattern.yml	true	unknown	5.680500065	3.061170265020337	145.182720	57	100	115
array-patterns/array29_pattern.yml	true	unknown	5.19933026	2.849370990996249	140.046336	41	42	47
array-patterns/array2_pattern.yml	true	unknown	6.088870594	3.2315030029858463	153.079808	52	134	150
array-patterns/array30_pattern.yml	true	unknown	5.975725285	3.1911957979900762	137.846784	42	43	48
array-patterns/array3_pattern.yml	true	unknown	6.176895354	3.3571861349919345	153.018368	72	160	176
array-patterns/array4_pattern.yml	true	unknown	6.171784489	3.2347009709919803	151.699456	83	294	325
array-patterns/array5_pattern.yml	true	unknown	6.528762803	3.47210692401859	144.912384	61	161	183
array-patterns/array6_pattern.yml	true	unknown	5.739214724	3.032549904019106	136.818688	52	134	150
array-patterns/array7_pattern.yml	true	unknown	6.036365005	3.2040252260048874	143.675392	59	155	171
array-patterns/array8_pattern.yml	true	unknown	5.86552776	3.0677663189999294	145.334272	49	94	106
array-patterns/array9_pattern.yml	true	unknown	5.394914307	2.865216760983458	135.794688	49	94	106
array-cav19/array_init_nondet_vars.yml	true	unknown	5.845647042	3.11050474899821	144.703488	51	96	107
array-cav19/array_min_and_copy_shift_sum_add.yml	true	unknown	6.041834775	3.172343553014798	141.619200	74	258	297
array-cav19/array_tiling_poly6.yml	true	unknown	4.86167533	2.628392131009605	136.810496	31	32	35
array-cav19/array_tiling_tcpy.yml	true	unknown	4.929841134	2.6267451110179536	138.178560	32	33	35
array-fpi/brs1.yml	true	unknown	5.454786746	2.8799889860092662	142.393344	38	39	44
array-fpi/brs1f.yml	false	unknown	6.066020014	3.1868054590013344	141.602816	38	39	44
array-fpi/brs2.yml	true	unknown	5.04190353	2.668578612006968	135.925760	38	39	44
array-fpi/brs2f.yml	false	unknown	5.276924118	2.778865266998764	136.916992	38	39	44
array-fpi/brs3.yml	true	unknown	5.491453361	2.8922034009883646	143.278080	38	39	44
array-fpi/brs3f.yml	false	unknown	5.352355176	2.801197756023612	141.803520	38	39	44
array-fpi/brs4.yml	true	unknown	4.921213825	2.607267448998755	132.308992	38	39	44
