tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
product-lines/email_spec6_product20.cil.yml	false	TIMEOUT	801.448983048	700.1782988859995	14562.865152				ERROR (1)	0.60961688	0.3634575030009728	32.620544			
product-lines/email_spec6_product21.cil.yml	false	OUT OF MEMORY	591.996341674	508.30495776799944	14999.998464				ERROR (1)	0.581179191	0.35280630399938673	34.119680			
product-lines/email_spec6_product22.cil.yml	false	OUT OF MEMORY (false(unreach-call))	635.219603351	551.2193602299994	14999.998464				ERROR (1)	0.552322331	0.3264144610002404	29.442048			
product-lines/email_spec6_product26.cil.yml	false	OUT OF MEMORY	627.252255486	551.6381364289991	14999.998464				ERROR (1)	0.518154473	0.3097565450007096	30.023680			
product-lines/email_spec6_product30.cil.yml	false	OUT OF MEMORY (false(unreach-call))	451.052715841	387.85058171200217	14999.998464				ERROR (1)	0.552345226	0.3189835240045795	30.015488			
product-lines/email_spec6_product33.cil.yml	false	OUT OF MEMORY (false(unreach-call))	443.234892566	381.60263781699905	14999.998464				ERROR (1)	0.623362403	0.3611772930016741	33.808384			
product-lines/email_spec7_product28.cil.yml	false	OUT OF MEMORY (false(unreach-call))	420.729490336	357.4093858069973	14999.998464				ERROR (1)	0.60114514	0.35691127699101344	33.280000			
product-lines/email_spec7_product30.cil.yml	false	OUT OF MEMORY (false(unreach-call))	478.942762303	423.10279887100114	14999.998464				ERROR (1)	0.58686401	0.353756255004555	33.169408			
product-lines/email_spec7_product33.cil.yml	false	OUT OF MEMORY (false(unreach-call))	485.611270126	428.58374669600016	14999.998464				ERROR (1)	0.572685813	0.33838859500247054	32.858112			
systemc/token_ring.05.cil-2.yml	false	TIMEOUT (false(unreach-call))	716.624310335	595.5794029929966	13792.440320				false(unreach-call)	740.811349158	623.8391342499963	13692.571648			
