tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-crafted/zero_sum_const1.yml	true	unknown	6.682262962	3.483892789998208	180.846592				unknown	7.212955569	3.7616094879922457	180.207616			
array-crafted/zero_sum_const2.yml	true	unknown	6.568745701	3.430513503997645	183.316480				unknown	7.290700871	3.774730081000598	186.662912			
array-crafted/zero_sum_const3.yml	true	unknown	7.758834212	4.02895375099979	188.395520				unknown	7.367078598	3.8458873799972935	195.997696			
array-crafted/zero_sum_const4.yml	true	unknown	7.723285889	3.996756029999233	204.042240				unknown	7.749675311	4.031285117001971	206.802944			
array-crafted/zero_sum_const5.yml	true	unknown	8.234185132	4.255826838998473	195.506176				unknown	8.783845803	4.595314766993397	198.283264			
array-crafted/zero_sum_const_m2.yml	true	unknown	7.400587959	3.859045949000574	185.860096				unknown	7.115870203	3.714605929009849	181.534720			
array-crafted/zero_sum_const_m3.yml	true	unknown	8.251129878	4.278570057002071	185.544704				unknown	7.688244453	3.9778161339927465	197.926912			
array-crafted/zero_sum_const_m4.yml	true	unknown	8.03951783	4.151870918001805	195.182592				unknown	8.023206335	4.125485340991872	197.722112			
array-crafted/zero_sum_const_m5.yml	true	unknown	9.715112618	5.011821441999928	203.837440				unknown	7.797631675	4.032914747993345	197.799936			
array-crafted/zero_sum_m2.yml	true	unknown	6.596701399	3.4324683330014523	175.198208				unknown	6.768298091	3.5527865440089954	176.603136			
array-crafted/zero_sum_m3.yml	true	unknown	6.742337445	3.502102956001181	177.582080				unknown	7.385431561	3.8401822519954294	185.073664			
array-crafted/zero_sum_m4.yml	true	unknown	7.507340064	3.9079704890027642	185.974784				unknown	7.339363722	3.7900618860003306	180.314112			
array-crafted/zero_sum_m5.yml	true	unknown	7.168956387	3.713817657000618	185.593856				unknown	8.373739489	4.325988423006493	185.864192			
array-multidimensional/init-non-constant-2-n-u.yml	true	unknown	7.015652195	3.652381660998799	182.870016				unknown	7.279144551	3.7700649939943105	179.245056			
array-patterns/array10_pattern.yml	true	unknown	8.371696636	4.372021584000322	185.507840				unknown	7.079082538	3.6912336090026656	185.487360			
array-patterns/array11_pattern.yml	true	unknown	7.522554694	3.8759379250004713	191.303680				unknown	7.598192108	3.97941235799226	200.437760			
array-patterns/array12_pattern.yml	true	unknown	8.239794621	4.296825777000777	199.475200				unknown	9.10828233	4.724309399010963	220.401664			
array-patterns/array13_pattern.yml	true	unknown	9.519272035	4.971953555999789	195.133440				unknown	7.62257268	3.9577061570016667	203.788288			
array-patterns/array14_pattern.yml	true	unknown	9.031517749	4.666472811997664	213.409792				unknown	8.755971503	4.5364441229903605	216.432640			
array-patterns/array15_pattern.yml	true	unknown	8.890279667	4.615275495998503	198.930432				unknown	7.664680365	4.058984741990571	197.656576			
array-patterns/array16_pattern.yml	true	unknown	7.268465069	3.7732127559975197	195.907584				unknown	7.337844937	3.801997479007696	194.027520			
array-patterns/array17_pattern.yml	true	unknown	9.264682825	4.779704927997955	206.979072				unknown	8.138916624	4.279023615003098	209.600512			
array-patterns/array18_pattern.yml	true	unknown	8.150755409	4.231038084999454	199.303168				unknown	8.342389706	4.356023296990315	207.908864			
array-patterns/array19_pattern.yml	true	unknown	7.707720544	3.996394402001897	205.008896				unknown	7.837692195	4.096743579008034	205.029376			
array-patterns/array1_pattern.yml	true	unknown	7.155359854	3.698872877001122	183.418880				unknown	8.080946911	4.190856936998898	181.379072			
